Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
bobby socks,Black,No,480,120,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexFolded2,10018,iby3kB32wD5rkxYod,SOCKS
bobby socks,Brown,No,480,120,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexFolded3,10019,ZH9uTJSirjyNrH3Qw,SOCKS
color-blocked socks,Purple,No,840,210,Purple,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock0,5180,5nRBXNdkdjyAjs5RQ,SOCKS
color-blocked socks,Green,No,840,210,Green,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock1,9895,gSZ3co7FeNLM2DqmZ,SOCKS
color-blocked socks,Brown,No,840,210,Brown,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock2,9896,tTwmQJF35W2CdDRNL,SOCKS
color-blocked socks,Blue,No,840,210,Blue,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock3,9897,EKGnqpYcYK5KDre8R,SOCKS
color-blocked socks,Beige,No,840,210,Beige,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock4,9898,tkbYFgGoKnqAJZ49K,SOCKS
color-blocked socks,White,No,840,210,White,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock5,9899,bxt6nkbfnX6KEKifX,SOCKS
color-blocked socks,Lime,No,840,210,Green,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock6,9900,jDEgNFRCGWgFw5hNq,SOCKS
color-blocked socks,Pink,No,840,210,Pink,Colorful,1x1,,Kicks,,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexMultiblock7,9901,3Y9LcSKLMJbT5YJfH,SOCKS
compression tights,Blue,No,600,150,Black,Blue,1x1,,Kicks,,All Year,No,1.0.0,Active,outdoorsy; sporty; work,No,For sale,SocksTexCompression0,5170,Fc8uttzc2hwQM7RKw,SOCKS
compression tights,Yellow,No,600,150,Black,Yellow,1x1,,Kicks,,All Year,No,1.0.0,Active,outdoorsy; sporty; work,No,For sale,SocksTexCompression1,9790,otHYAzdH3cf86yKEo,SOCKS
compression tights,Pink,No,600,150,Black,Pink,1x1,,Kicks,,All Year,No,1.0.0,Active,outdoorsy; sporty; work,No,For sale,SocksTexCompression2,9791,SsdRjyHarAqc72Kmv,SOCKS
compression tights,Mint,No,600,150,Black,Green,1x1,,Kicks,,All Year,No,1.0.0,Active,outdoorsy; sporty; work,No,For sale,SocksTexCompression3,9792,j6AcTLGBGdk9xgThP,SOCKS
compression tights,Red,No,600,150,Black,Red,1x1,,Kicks,,All Year,No,1.0.0,Active,outdoorsy; sporty; work,No,For sale,SocksTexCompression4,9793,qrFTn5ab3j4nHqzwd,SOCKS
country socks,Red ribbons,No,720,180,White,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexCountry0,6044,wgBZqqpZomaTLZhcz,SOCKS
country socks,Green ribbons,No,720,180,White,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexCountry1,8942,RWpifRdqLmYQL5dGf,SOCKS
country socks,Blue ribbons,No,720,180,White,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexCountry2,8943,mDTdqvPWaESchMEGe,SOCKS
country socks,Black ribbons,No,720,180,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; work,No,For sale,SocksTexCountry3,8944,ptJF3tBrJxAYRLT5T,SOCKS
crocheted socks,Beige,No,600,150,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy,No,For sale,SocksTexCrocheting0,5202,phkn7YMAHEZZFyC3L,SOCKS
crocheted socks,Gray,No,600,150,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy,No,For sale,SocksTexCrocheting1,8939,mopfLb9yhXEj9qXS2,SOCKS
crocheted socks,Purple,No,600,150,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy,No,For sale,SocksTexCrocheting2,8940,PT7ZGkfTfkvtkBmJx,SOCKS
crocheted socks,Blue,No,600,150,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy,No,For sale,SocksTexCrocheting3,8941,k8aPtaZcFrRZwZvD6,SOCKS
denim leggings,Blue,No,540,135,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,SocksTexDenimleggings0,4745,3FSnfcpAYm5Fjbctc,SOCKS
denim leggings,Indigo blue,No,540,135,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,SocksTexDenimleggings1,9782,zX9ge6E48pkgAtvJG,SOCKS
denim leggings,Saxon blue,No,540,135,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,SocksTexDenimleggings2,9783,z4ygu9Huw9NGZBeYZ,SOCKS
denim leggings,Light blue,No,540,135,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,SocksTexDenimleggings3,9784,kJjSEP42iYeHw2XTP,SOCKS
dotted knee-high socks,Black,No,720,180,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,everyday,No,For sale,SocksTexDotknee0,12174,NvX65fPWJDEAJdBh8,SOCKS
dotted knee-high socks,Yellow,No,720,180,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexDotknee1,12179,2yn8c76aCod8W6H9t,SOCKS
dotted knee-high socks,Cyan,No,720,180,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday,No,For sale,SocksTexDotknee2,12180,Kvp83zH2Qcp6XeJro,SOCKS
dotted knee-high socks,Gray,No,720,180,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,everyday,No,For sale,SocksTexDotknee3,12181,wJw3R2v2MKdSepbvE,SOCKS
embroidered-flower tights,Brown,No,1000,250,Brown,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery0,5204,qAsvxHbnuC6DDNZjG,SOCKS
embroidered-flower tights,Black,No,1000,250,Black,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery1,9907,SiWtz8aTYoK75JfRz,SOCKS
embroidered-flower tights,Green,No,1000,250,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery2,9908,jPQA8CohQNBhSwsiq,SOCKS
embroidered-flower tights,Beige,No,1000,250,Beige,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery3,9909,fwcHa7FkHcm4BZdYP,SOCKS
embroidered-flower tights,Blue,No,1000,250,Blue,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery4,9910,fmZu6dNagF4XW6rvd,SOCKS
embroidered-flower tights,Purple,No,1000,250,Purple,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; party,No,For sale,SocksTexEmbroidery5,9911,iivtbk5pG2i2asvBC,SOCKS
everyday socks,Brown,No,600,150,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks0,9645,7NubAsby6JGtDjkQE,SOCKS
everyday socks,Black,No,600,150,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks1,10034,Pe45hBHF5EJnYr9Es,SOCKS
everyday socks,Navy blue,No,600,150,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks2,10035,MyTLF7gvqar4TjoR3,SOCKS
everyday socks,Gray,No,600,150,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks3,10036,RYHfit78bZMtfDcGL,SOCKS
everyday socks,Beige,No,600,150,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks4,10037,AjdoBNEpkupPceJ4z,SOCKS
everyday socks,White,No,600,150,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailysocks5,10038,4s4vWXEwkLbb3efNb,SOCKS
everyday tights,Black,No,720,180,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights0,9581,rh6Bpp5D5QL7QXt7F,SOCKS
everyday tights,Light gray,No,720,180,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights1,9682,GG4hZNfY85kX42aEe,SOCKS
everyday tights,Gray,No,720,180,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights2,9683,HWnMuGqHxjQLh7yDJ,SOCKS
everyday tights,White,No,720,180,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights3,9684,iENLav487Pt8WgfWk,SOCKS
everyday tights,Navy blue,No,720,180,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights4,9685,Byc5JuPksWfY4wprE,SOCKS
everyday tights,Beige,No,720,180,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; work,No,For sale,SocksTexDailytights5,9686,w9RMWiq6CjrmwWJtN,SOCKS
fishnet tights,Black,No,480,120,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,party; theatrical,No,For sale,SocksTexAmitights0,3096,3tL4DiJ9rWHthc9Pk,SOCKS
fishnet tights,White,No,480,120,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,party; theatrical,No,For sale,SocksTexAmitights1,9659,gsjb2cGwKR3nQswoP,SOCKS
fishnet tights,Red,No,480,120,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,party; theatrical,No,For sale,SocksTexAmitights2,9660,48n6aHZGEPnDEK9jx,SOCKS
flowery-dot tights,White,No,720,180,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,fairy tale; formal; party; theatrical,No,For sale,SocksTexFlowerdot0,5804,PMGBtgwgdqyfgFLGT,SOCKS
flowery-dot tights,Pink,No,720,180,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; formal; party; theatrical,No,For sale,SocksTexFlowerdot1,9917,iPqdJXpkmoQHFa3bk,SOCKS
flowery-dot tights,Blue,No,720,180,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; formal; party; theatrical,No,For sale,SocksTexFlowerdot2,9918,LQLHZmbq5ooLpTaSc,SOCKS
flowery-dot tights,Yellow,No,720,180,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; formal; party; theatrical,No,For sale,SocksTexFlowerdot3,9919,MKk8HkGiw8Dm5isEd,SOCKS
flowery-dot tights,Black,No,720,180,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,fairy tale; formal; party; theatrical,No,For sale,SocksTexFlowerdot4,9920,Can7JCiG9L8Hm9TDc,SOCKS
frilly knee-high socks,Black,No,840,210,Black,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee0,5172,vmXP6mnS88memLCX4,SOCKS
frilly knee-high socks,Green,No,840,210,Green,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee1,11589,3Q2vgyB7ck687Eyqg,SOCKS
frilly knee-high socks,Red,No,840,210,Red,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee2,11590,xds2s4575YP27vR8A,SOCKS
frilly knee-high socks,Brown,No,840,210,Orange,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee3,11591,JNi4geueh5oD227xR,SOCKS
frilly knee-high socks,Mint,No,840,210,Light blue,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee4,11592,CWTTXCXbYiGajL8GN,SOCKS
frilly knee-high socks,Pink,No,840,210,Pink,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee5,11593,v9tYcuwPdAT7v3wQS,SOCKS
frilly knee-high socks,Purple,No,840,210,Purple,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee6,11594,WXa2dtqHH4yTqi72y,SOCKS
frilly knee-high socks,Yellow,No,840,210,Yellow,White,1x1,,Kicks,,Spring,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,No,For sale,SocksTexFrilledknee7,11595,WdGcfiFNT7NYtgr2x,SOCKS
frilly socks,White,No,720,180,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled0,5174,JjfAnWLyzasyYMg3v,SOCKS
frilly socks,Yellow,No,720,180,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled1,8934,riCwe2zM7QyECk3Jr,SOCKS
frilly socks,Pink,No,720,180,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled2,8935,eReXG6NHXaQ7K3hBX,SOCKS
frilly socks,Green,No,720,180,Green,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled3,8936,k4BtF693DbxH33AL6,SOCKS
frilly socks,Purple,No,720,180,Purple,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled4,8937,RTFEAwp3SBjAFWdd8,SOCKS
frilly socks,Blue,No,720,180,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; fairy tale; formal; party,No,For sale,SocksTexFrilled5,8938,gQw822wnuA7Cvo7nF,SOCKS
funny-face socks,Pink,No,600,150,Pink,Light blue,1x1,,Kicks,,Summer,No,1.0.0,Active,everyday; comfy,No,For sale,SocksTexCharacter0,5406,foRRtKZSXYm9y3rX9,SOCKS
funny-face socks,Blue,No,600,150,Blue,Green,1x1,,Kicks,,Summer,No,1.0.0,Active,everyday; comfy,No,For sale,SocksTexCharacter1,9992,y8GCEKe7n9XX2TW4n,SOCKS
funny-face socks,Red,No,600,150,Red,Yellow,1x1,,Kicks,,Summer,No,1.0.0,Active,everyday; comfy,No,For sale,SocksTexCharacter2,9993,qSjBCKKdyA4KREoye,SOCKS
funny-face socks,Green,No,600,150,Green,Blue,1x1,,Kicks,,Summer,No,1.0.0,Active,everyday; comfy,No,For sale,SocksTexCharacter3,9994,hj2f2Lh4d4ZEWsi6B,SOCKS
funny-face socks,Black,No,600,150,Black,Gray,1x1,,Kicks,,Summer,No,1.0.0,Active,everyday; comfy,No,For sale,SocksTexCharacter4,9995,Z325j6mwSX7psKc6s,SOCKS
garter socks,Black,No,980,245,Black,Black,1x1,,Kicks,,All Year,No,1.0.0,Cool,formal; party; theatrical,No,For sale,SocksTexGarter0,4747,iwKjqecWcWav7tNss,SOCKS
garter socks,White,No,980,245,White,White,1x1,,Kicks,,All Year,No,1.0.0,Cool,formal; party; theatrical,No,For sale,SocksTexGarter1,9661,iDmZtgECn8KRQuAMs,SOCKS
garter socks,Purple,No,980,245,Purple,Purple,1x1,,Kicks,,All Year,No,1.0.0,Cool,formal; party; theatrical,No,For sale,SocksTexGarter2,9662,RN674wx6333j9XEHA,SOCKS
garter socks,Red,No,980,245,Red,Red,1x1,,Kicks,,All Year,No,1.0.0,Cool,formal; party; theatrical,No,For sale,SocksTexGarter3,9663,88SHPWGpx3C5ft2dv,SOCKS
geometric-print socks,Yellow,No,950,237,Yellow,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo0,5444,iRLnesjDYbtq9h3KN,SOCKS
geometric-print socks,Peacock blue,No,950,237,Light blue,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo1,9912,LREKsNHetcJzH6h8w,SOCKS
geometric-print socks,Purple,No,950,237,Purple,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo2,9913,eLuF389npgRiWzMAS,SOCKS
geometric-print socks,Beige,No,950,237,Beige,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo3,9914,ssdvzowHC9cjHtC7E,SOCKS
geometric-print socks,Pink,No,950,237,Pink,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo4,9915,PuAirT3RNJoiq4EsZ,SOCKS
geometric-print socks,Green,No,950,237,Green,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy,No,For sale,SocksTexChimayo5,9916,jiHCobNrHoCB3jBao,SOCKS
hand-knit socks,Green,No,700,175,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,outdoorsy; comfy,No,For sale,SocksTexHandknit0,5196,z54zAKmuyqXF6pRiL,SOCKS
hand-knit socks,Purple,No,700,175,Purple,Purple,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,outdoorsy; comfy,No,For sale,SocksTexHandknit1,9076,j5an4tBSddSdQKoTE,SOCKS
hand-knit socks,Orange,No,700,175,Orange,Orange,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,outdoorsy; comfy,No,For sale,SocksTexHandknit2,9077,digGMqMoQXzCPZHcp,SOCKS
holey socks,Blue,No,NFS,10,Blue,Blue,1x1,,Recycle bin,,All Year,No,1.0.0,Simple,goth; comfy,No,Not for sale,SocksTexHole0,5178,eaux4kbxPYywzEPnk,SOCKS
holey socks,Navy blue,No,NFS,10,Blue,Blue,1x1,,Recycle bin,,All Year,No,1.0.0,Simple,goth; comfy,No,Not for sale,SocksTexHole1,9070,ekrFBBgdDZN9rCRyX,SOCKS
