Name,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,Tag,Color 1,Color 2,Version,Filename,Internal ID,Unique Entry ID,tipo
blue-hydrangea nursery,No,1,280,70.0,,,,,,,1.2.0,PltHydrangeaBlue0,12749,dGy5iDQkBijsuNMLM,OTHER
blue-hydrangea start,No,10,280,70.0,,,,,,,1.2.0,SeedHydrangeaBlue,3798,GNsNR4uHsjm4B7XJr,OTHER
blue-pansy plant,No,1,NFS,80.0,,White/white pansies,,Plants,,,1.0.0,PltPansyBlue3,3860,Zd4CiamQfSEbYcymn,OTHER
blue-rose plant,No,1,NFS,1000.0,,Orange/orange roses,,Plants,,,1.0.0,PltRoseBlue3,3876,XXDs7bACfxsb5ospo,OTHER
blue-windflower plant,No,1,NFS,80.0,,"White/white windflowers
Orange/white windflowers",,Plants,,,1.0.0,PltAnemonesBlue3,3902,A4yXEFxhamZ2fCfmG,OTHER
boot,No,1,40,10.0,,Fishing,Medium shadow,,,,1.0.0,TrashBoot,3469,7jBpMwNw25uQW345e,OTHER
brick path permit,No,1,NFS,,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerBrick,8774,oHZbjoqc3QKK6WLCC,OTHER
bridge construction kit,Yes,1,NFS,,,Tom Nook,,Outdoors Decor,,,1.0.0,BridgeLogReserveKit,7211,qT8ewTJpgMGSEENoY,OTHER
bridge marker kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,BridgeReserveKit,4310,nS86mCT42JirpqqPY,OTHER
brown wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperBrown,7696,hJhmHZLzeNSDBEoSo,OTHER
campsite construction kit,Yes,1,NFS,,,Tom Nook,,,,,1.0.0,CampsiteReserveKit,5166,ezCup9En25XEqADNt,OTHER
campsite moving kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,MovingKitCampsite,6841,ZXGmQ8gab2KnTmP5a,OTHER
Cancer fragment,No,10,NFS,500.0,,Wishing on shooting stars (June 21 - July 22),,,,,1.0.0,StarpieceCancer,5991,SmqC4auAEN7GSNraA,OTHER
Capricorn fragment,No,10,NFS,500.0,,Wishing on shooting stars (Dec 22 - Jan 19),,,,,1.0.0,StarpieceCapricornus,5985,Yv5hZXu5AkG7sWNQ6,OTHER
cedar sapling,No,10,640,160.0,,Nook's Cranny,,Plants,,,1.0.0,SeedCedar,2800,LP6TnsveSD3AGAMmQ,OTHER
cedar tree,No,1,NFS,240.0,,Planting a cedar start,,Plants,,,1.0.0,PltCedar4,2805,scFwAJ9XXGD3G6NbX,OTHER
chartreuse wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperLightGreen,7686,RWcJQMBA79cybhZDM,OTHER
cherry,No,10,400,500.0,,Cherry tree,,,,,1.0.0,Cherry,2287,vAujDBhEiEHX39WDn,OTHER
cherry tree,No,1,NFS,300.0,,Planting a cherry,,Plants,,,1.0.0,PltCherry4,3381,GhjdFWs3sFftbtd2W,OTHER
cherry-blossom petal,No,10,NFS,,,Catching with a net (Cherry-Blossom Season),,,,,1.0.0,Sakurapetal,5859,7hYtxcDFLTySLx8Nz,OTHER
clay,No,30,NFS,100.0,,Hitting a rock,,,,,1.0.0,DIYClay,3090,3yoCRN4WNjdYKQEJB,OTHER
cliff construction permit,No,1,NFS,,6000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrCliffMaker,8781,WQsguRuMd9bwEFu5j,OTHER
clump of weeds,No,99,NFS,10.0,,On ground,,Plants,,,1.0.0,PltWeed,2624,GEtNwS4vwNF7oBvw9,OTHER
coconut,No,10,NFS,250.0,,Coconut tree,,,,,1.0.0,Coconut,2288,eHNoTML3CsNoaHoZ9,OTHER
coconut tree,No,1,NFS,500.0,,Planting a coconut,,Plants,,,1.0.0,PltPalm4,2810,c4FSMaXCEqboxnQzT,OTHER
coin,No,9,NFS,0.0,,Shaking a tree,,,,,1.0.0,PhotoStudioBell,7730,jNjH659eycYXADzaq,OTHER
communicator part,No,10,NFS,20.0,,Clam dig spot while on a quest for Gulliver,,,,,1.0.0,JohnnyQuest1,2381,XiM7GBuMGY9HReqm2,OTHER
conch,No,10,NFS,700.0,,Beach,,,,,1.0.0,ShellDriftHora,1376,rtDktiz93Crc46m5c,OTHER
coral,No,10,NFS,500.0,,Beach,,,,,1.0.0,ShellDriftSango,1380,4CHLh45qehAS8wHpb,OTHER
cowrie,No,10,NFS,60.0,,Beach,,,,,1.0.0,ShellDriftTakara,1382,zxAax3FMiJMX9Chet,OTHER
custom design path permit,No,1,NFS,,2300.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerMydesign,9771,gsKtaovfLwrynQzh2,OTHER
Custom Design Pro Editor,No,1,NFS,,800.0,Nook Miles Redemption,,,,,1.0.0,HowtoBookMydesingPro,12185,MMYBdDHWn2kW2Maze,OTHER
customizable phone case kit,No,1,NFS,,1800.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,SmartphoneCase,8760,nwyFbGaLtmPjknPTY,OTHER
customization kit,No,50,600,150.0,,Nook's Cranny,,Supplies,,,1.0.0,RemakeKit,2513,Ld3gGWdjsFZscs6Qq,OTHER
dark dirt path permit,No,1,NFS,,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerDarkSoil,8775,E6p3k7jqPy5nQZqkx,OTHER
delivery,No,1,NFS,222.0,,Delivering item for a villager,,,,,1.0.0,DummyCardboard,4645,dSEW4GQniyS8P6SnE,OTHER
delivery box,No,1,NFS,,,Nook Shopping,,,,,1.0.0,QuestWrappingBox,4245,KGs8SGuNQXerMe7xC,OTHER
DIY for Beginners,No,1,480,,,Nook's Cranny,,,,,1.0.0,DIYbook1,5603,Xg3ZJkcs2GKKj629h,OTHER
earth egg,No,30,NFS,200.0,,Dig spot (Bunny Day),,,,,1.1.0a,EggGround,12509,GfuzxkKwqvLMLq4TJ,OTHER
egg message bottle,No,1,NFS,,,Beach (Bunny Day),,,,,1.1.0a,MessageBottleEgg,12544,AQictTWfneH93yYQM,OTHER
elegant mushroom,No,10,NFS,10000.0,,On ground (Mushroom Season),,,,,1.0.0,MushSplendid,3276,kHtGRmaZmf3foEhwz,OTHER
empty can,No,1,NFS,10.0,,Fishing,Small shadow,,,,1.0.0,TrashCan,3466,rqiTcqwQexTmYoPTH,OTHER
fish bait,Yes,10,NFS,200.0,,Crafting,,,,,1.0.0,FishBait,4549,Ghm4XtGMDXTpyFQSj,OTHER
flat mushroom,No,10,NFS,200.0,,On ground (Mushroom Season),,,,,1.0.0,MushFlat,3279,Ym7BRDNMQF6nZL446,OTHER
fossil,No,1,NFS,100.0,,Dig spot,,,,,1.0.0,Fossil,2579,ZwqydviSR4WiRWdDA,OTHER
Gemini fragment,No,10,NFS,500.0,,Wishing on shooting stars (May 21 - June 20),,,,,1.0.0,StarpieceGemini,5990,FKd48SRH79uQKweuZ,OTHER
giant clam,No,10,NFS,900.0,,Beach,,,,,1.0.0,ShellDriftSyako,1381,yzrzGTGG6mdN2N4d4,OTHER
gold nugget,No,30,NFS,10000.0,,Hitting a rock,,,,,1.0.0,DIYGold,2505,i7QscMET7RcTdffLC,OTHER
gold ornament,No,10,NFS,50.0,,Shaking a cedar tree (Festive Season),,,,,1.0.0,DIYOrnamentGold,5732,PDc3gmJTvyra4nNb6,OTHER
gold roses,No,10,NFS,1000.0,,Picking flowers,,Plants,Yellow,Yellow,1.0.0,FlwRoseGold,2963,6B9RaLkgxyFA72rdm,OTHER
gold wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperGold,7695,nKFEifDX73E7y86s3,OTHER
gold-rose plant,No,1,NFS,1000.0,,"Black/black roses
Water with gold watering can",,Plants,,,1.0.0,PltRoseGold3,3878,vgqcsR2h6B96skooq,OTHER
gray wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperGray,7697,yiydxSjmgGZiNBxsm,OTHER
green mums,No,10,NFS,240.0,,Picking flowers,,Plants,Green,Green,1.0.0,FlwMumGreen,5175,iZDGXg9rxMCXkkRXQ,OTHER
green wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperGreen,7687,3mskzQhZ5uWSBJ373,OTHER
green-mum plant,No,1,NFS,240.0,,Purple/purple mums,,Plants,,,1.0.0,PltMumGreen3,3934,ejT89srWvyFe6eQKf,OTHER
hardwood,No,30,NFS,60.0,,Chopping a tree,,,,,1.0.0,DIYWoodHard,2769,ni3n8DjyCZ9cghTD2,OTHER
hardwood tree,No,1,NFS,240.0,,Planting a sapling,,Plants,,,1.0.0,PltOak4,2799,iGMxqfQ39pMGzJrji,OTHER
heart crystal,No,30,400,100.0,,Reese,Reward for helping Cyrus & Reese during Wedding Season,,,,1.2.0,Love,12546,Seo4ym9pKPhr7A6yb,OTHER
holly bush,No,1,560,140.0,,,,,,,1.2.0,PltHolly2,3027,iS4C5XqHay6jggFoL,OTHER
holly nursery,No,1,280,70.0,,,,,,,1.2.0,PltHolly0,12757,vyJTecdJnm8PS8zh6,OTHER
holly start,No,10,280,70.0,,,,,,,1.2.0,SeedHolly,3024,ikDCfcT8TcvyPNH8Y,OTHER
housing kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,NnpcNewHousingkit,3349,3H4M8fad4hXPPK9tq,OTHER
incline marker kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,SlopeReserveKit,4311,Nmp2P7XPoEWX2tQG6,OTHER
iron nugget,No,30,NFS,375.0,,Hitting a rock,,,,,1.0.0,DIYIron,2511,smkrptPsq6cK6e7ya,OTHER
large snowflake,No,10,NFS,,,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,,,,1.0.0,SnowCrystalLarge,3540,roPJbuZmNfYv9k3Q5,OTHER
large star fragment,No,10,NFS,2500.0,,Wishing on shooting stars,,,,,1.0.0,StarpieceRare,5984,FA6nhbrBzK7ESdoDL,OTHER
leaf egg,No,30,NFS,200.0,,Shaking a hardwood tree (Bunny Day),,,,,1.1.0a,EggLeaf,12511,3rZgwsLcirdRrMrND,OTHER
Leo fragment,No,10,NFS,500.0,,Wishing on shooting stars (July 23 - August 22),,,,,1.0.0,StarpieceLeo,5992,kxQAgnSXcGbYHtNLB,OTHER
Libra fragment,No,10,NFS,500.0,,Wishing on shooting stars (September 23 - October 22),,,,,1.0.0,StarpieceLibra,5994,SRpunGqz97ZSyQeKq,OTHER
light-blue wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperLightBlue,7689,k6ZfmjnoDpGqHWweS,OTHER
lily-of-the-valley plant,No,1,NFS,222.0,,5-star town status,,Plants,,,1.0.0,PltSuzuran2,7651,LXttqtLN2HF8PhQbu,OTHER
lost item,No,1,NFS,,,On ground,,,,,1.0.0,LostQuestBag,2374,uncR4zC9xppuSkiij,OTHER
lost item,No,1,NFS,,,On ground,,,,,1.0.0,LostQuestBook,2375,ymD8pZhYvP99PRiYr,OTHER
lost item,No,1,NFS,,,On ground,,,,,1.0.0,LostQuestNote,5426,Fd7AxQwkCjc5RmfRW,OTHER
manila clam,No,1,NFS,100.0,,Clam dig spot,,,,,1.0.0,FtrShellFishAsari,2567,JFoiWRD9rYYRQchWY,OTHER
maple leaf,No,10,NFS,,,Catching with a net (Fall),,,,,1.0.0,AutumnLeaf,7374,iNPeEEqdSxkjKFPDS,OTHER
medicine,Yes,10,400,100.0,,Nook's Cranny,,Hospital,,,1.0.0,ItemMedicine,2777,3pirDraBT9LTcGCDc,OTHER
message bottle,No,1,NFS,,,Beach,,,,,1.0.0,MessageBottle,5793,euJRD9W3hqTR3YeGC,OTHER
mint wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperMint,7688,J7HrFYe8eAajkNBPk,OTHER
money tree,No,1,NFS,240.0,,Burying bells in a glowing spot,,Plants,,,1.0.0,PltMoney4,4426,ePzXeAjEBZXBhxuAF,OTHER
moving kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,MovingKitPlayer,5358,MyYYwJYdNvcGSEoFZ,OTHER
museum moving kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,MovingKitMuseum,5361,nrLWMtL3jGmWYDAQM,OTHER
navy wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperNavy,7691,Ms5AhyNbJL5DuZrh2,OTHER
Nook Miles Ticket,No,1,NFS,,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,MilePlaneTicket,5851,FAn9xRZvpBRAad3E6,OTHER
old tire,No,1,NFS,10.0,,Fishing,Large shadow,,,,1.0.0,TrashTire,3470,3S8juGp87QfHvtpyq,OTHER
orange,No,10,400,500.0,,Orange tree,,,,,1.0.0,Orange,2214,T54w2hgHB3Edytw3f,OTHER
orange cosmos,No,10,NFS,80.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwCosmosOrange,2871,Hvp5sHy7uPHnH2Qda,OTHER
orange hyacinths,No,10,NFS,80.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwHyacinthOrange,3741,H7pirF6ynSFrpgLMN,OTHER
orange lilies,No,10,NFS,80.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwYuriOrange,2995,Y8kaixfp7SEvzCDCd,OTHER
orange pansies,No,10,NFS,80.0,,Picking flowers,,Plants,Red,Green,1.0.0,FlwPansyRedYellow,2919,atQLxZD4CSqYsaNkM,OTHER
orange roses,No,10,NFS,80.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwRoseOrange,2947,MsnwoMvrqgeH2ZrG6,OTHER
orange tree,No,1,NFS,300.0,,Planting an orange,,Plants,,,1.0.0,PltOrange4,3365,RjcKphnD5xgCxeMFM,OTHER
orange tulips,No,10,NFS,80.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwTulipOrange,2895,h9SC924x9vkjSAsBC,OTHER
orange windflowers,No,10,NFS,40.0,,Picking flowers,,Plants,Orange,Green,1.0.0,FlwAnemonesOrange,3713,dCQyoCdY9JFYxHXbR,OTHER
orange wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperOrange,7685,brMQqHjgqsMz5kdtb,OTHER
orange-cosmos plant,No,1,NFS,80.0,,Red/yellow cosmos,,Plants,,,1.0.0,PltCosmosOrange3,3832,ZMn3hzNpMRg9vkW7E,OTHER
orange-hyacinth plant,No,1,NFS,80.0,,Red/yellow hyacinths,,Plants,,,1.0.0,PltHyacinthOrange3,3916,Qm6vasEvBMXEaWDgF,OTHER
orange-lily plant,No,1,NFS,80.0,,Red/yellow lilies,,Plants,,,1.0.0,PltYuriOrange3,3894,b2dp3BnCjLEQTcyHt,OTHER
orange-pansy plant,No,1,NFS,80.0,,Red/yellow pansies,,Plants,,,1.0.0,PltPansyRedYellow3,3856,NN4tLZwnXJA7nsQJF,OTHER
orange-rose plant,No,1,NFS,80.0,,Red/yellow roses,,Plants,,,1.0.0,PltRoseOrange3,3870,WN72HFoZ3fyhwQ5NG,OTHER
orange-tea-olive bush,No,1,560,140.0,,,,,,,1.2.0,PltBushOsmathusOrange2,12482,ijnrJoK6XMityJZDM,OTHER
orange-tea-olive nursery,No,1,280,70.0,,,,,,,1.2.0,PltBushOsmathusOrange0,12754,YiNQSEMBSiYzc45YQ,OTHER
orange-tea-olive start,No,10,280,70.0,,,,,,,1.2.0,SeedBushOsmathusOrange,12480,QRyD9Q4f7vzqQdeCs,OTHER
orange-tulip plant,No,1,NFS,80.0,,Red/yellow tulips,,Plants,,,1.0.0,PltTulipOrange3,3844,iYi6dRqA3vA8fb4oZ,OTHER
orange-windflower bag,No,10,240,60.0,,Nook's Cranny,,Plants,,,1.0.0,SeedAnemonesOrange,3714,HuPd5NbyLkkFvigEo,OTHER
orange-windflower plant,No,1,NFS,40.0,,Seed bag,,Plants,,,1.0.0,PltAnemonesOrange3,3900,E9PAkZEzQ3HaJiRqy,OTHER
peach,No,10,400,500.0,,Peach tree,,,,,1.0.0,Peach,2286,qjF3dwhQy3e2LiWtr,OTHER
peach tree,No,1,NFS,300.0,,Planting a peach,,Plants,,,1.0.0,PltPeach4,3375,jr4TgJyTJyZ933o6T,OTHER
pear,No,10,400,500.0,,Pear tree,,,,,1.0.0,Pear,2285,pnTL7PHd4rtyzkanu,OTHER
pear tree,No,1,NFS,300.0,,Planting a pear,,Plants,,,1.0.0,PltPear4,3370,7kQWGcj7EmNqj8KiL,OTHER
pine cone,No,30,NFS,200.0,,Shaking a cedar tree (Fall),,,,,1.0.0,DIYPinecone,5728,pKvkjhsyir2FimNts,OTHER
pink cosmos,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwCosmosPink,2867,898Ts8bbEr7iNZzGG,OTHER
pink hyacinths,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwHyacinthPink,3738,wNbmG4DKhkErfibGX,OTHER
pink lilies,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwYuriPink,2991,kiCkkhX3PNkfauJXo,OTHER
pink mums,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwMumPink,3765,xNhBxScQvumKJeYDz,OTHER
pink roses,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwRosePink,2943,Y3XgoGJjbP4FARKP8,OTHER
pink tulips,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwTulipPink,2891,xsXifs2QAihKWQneZ,OTHER
pink windflowers,No,10,NFS,80.0,,Picking flowers,,Plants,Pink,Green,1.0.0,FlwAnemonesPink,3720,ap2QtwXRXd3rCw99D,OTHER
pink wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperPink,7684,nRfsjMz6ctyb5gpGt,OTHER
pink-azalea bush,No,1,560,140.0,,,,,,,1.2.0,PltAzaleaPink2,3788,jy3SJweiZ5ketX4zg,OTHER
pink-azalea nursery,No,1,280,70.0,,,,,,,1.2.0,PltAzaleaPink0,12748,Ez7WK3mA2WD5CeyHb,OTHER
pink-azalea start,No,10,280,70.0,,,,,,,1.2.0,SeedAzaleaPink,3786,R69MFoTNoTFaAFokq,OTHER
pink-camellia bush,No,1,560,140.0,,,,,,,1.2.0,PltBushCamelliaPink2,12492,tKaeYZdRmGtTShfmH,OTHER
pink-camellia nursery,No,1,280,70.0,,,,,,,1.2.0,PltBushCamelliaPink0,12756,dCLfqkekaY3tAFmvc,OTHER
pink-camellia start,No,10,280,70.0,,,,,,,1.2.0,SeedBushCamelliaPink,12490,nWKkXpxtQqLCtmPEG,OTHER
pink-cosmos plant,No,1,NFS,80.0,,Red/white cosmos,,Plants,,,1.0.0,PltCosmosPink3,3830,sPeds6o4kAXvts6mc,OTHER
pink-hyacinth plant,No,1,NFS,80.0,,Red/white hyacinths,,Plants,,,1.0.0,PltHyacinthPink3,3914,3w8JnddzGnc2yb4LF,OTHER
pink-hydrangea bush,No,1,560,140.0,,,,,,,1.2.0,PltHydrangeaPink2,3796,t3sEjgXcrmrJ9WbS7,OTHER
pink-hydrangea nursery,No,1,280,70.0,,,,,,,1.2.0,PltHydrangeaPink0,12750,6FZYjcB7o4msQZhhM,OTHER
pink-hydrangea start,No,10,280,70.0,,,,,,,1.2.0,SeedHydrangeaPink,3794,MeN5MT4W7J4dbcWcC,OTHER
pink-lily plant,No,1,NFS,80.0,,Red/white lilies,,Plants,,,1.0.0,PltYuriPink3,3892,iRrTAcjkNBukdsAQm,OTHER
pink-mum plant,No,1,NFS,80.0,,Red/white mums,,Plants,,,1.0.0,PltMumPink3,3930,yP44c6mMQC7u5udxv,OTHER
pink-rose plant,No,1,NFS,80.0,,Red/white roses,,Plants,,,1.0.0,PltRosePink3,3868,wpLag9jyPSoMr6wcW,OTHER
pink-tulip plant,No,1,NFS,80.0,,Red/white tulips,,Plants,,,1.0.0,PltTulipPink3,3842,usSvXn26PTCuavTHo,OTHER
pink-windflower plant,No,1,NFS,80.0,,Red/orange windflowers,,Plants,,,1.0.0,PltAnemonesPink3,3904,YJfanQias2fdR9t9X,OTHER
Pisces fragment,No,10,NFS,500.0,,Wishing on shooting stars (February 19 - March 20),,,,,1.0.0,StarpiecePisces,5987,nCwjX8yHBFefjAion,OTHER
pitfall seed,Yes,10,NFS,140.0,,Crafting,,,,,1.0.0,PitfallSeed,2578,HYdEMJJQXzoudrWDT,OTHER
plot 1 housing kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,HousingKitRcoQuestA,5827,2JkqabfsQ26vYe7Fp,OTHER
plot 2 housing kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,HousingKitRcoQuestB,5828,h63H2kQtzWceBt57Y,OTHER
plot 3 housing kit,No,1,NFS,,,Tom Nook,,,,,1.0.0,HousingKitRcoQuestC,5829,5JGfxP3vczLy755Y4,OTHER
Pocket Organization Guide,No,1,NFS,,5000.0,Nook Miles Redemption,,,,,1.0.0,HowtoBookPocketExpansion,9052,rMYGGvqwXxrzrA2FG,OTHER
present,No,1,NFS,222.0,,Mail,,Seasonal Decor,,,1.0.0,DummyPresentbox,4480,eKkBqvy3TwbZbNQWZ,OTHER
present (black),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingBlack,7714,Fz8reyFJoWrSLQSvq,OTHER
present (blue),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingBlue,7708,f38mKJ6yzmhtjyWXS,OTHER
present (brown),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingBrown,7712,hwkpJC9vq2AYKrhqe,OTHER
present (chartreuse),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingLightGreen,7702,78JwZftyosktxaKyQ,OTHER
present (gold),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingGold,7711,JzsQLAwTvEPAZ2f9x,OTHER
present (gray),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingGary,7713,fw5ehh62f4u6rvQbw,OTHER
present (green),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingGreen,7703,9uhhf44dFKeQ4b5zP,OTHER
present (light-blue),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingLightBlue,7705,gFWMoXzFEjAaBkoFi,OTHER
present (mint),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingMint,7704,uWkGsjeN7twxbeXLR,OTHER
present (navy),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingNavy,7707,YeKbW5aZJbTqDGemJ,OTHER
present (orange),No,1,NFS,,,Wrapping a present,,,,,1.0.0,DummyWrappingOrange,7701,nHGaD5m8mC7s7CXvL,OTHER
