Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
boa skirt,Purple,No,1300,325,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa2,9108,eSPxEhawpKLm2ceMk,BOTTOMS
boa skirt,Red,No,1300,325,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa3,9109,ef7PeMEWM8geRb2JX,BOTTOMS
boa skirt,Yellow,No,1300,325,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa4,9110,sBZFNvhEg4Bsi8WLM,BOTTOMS
boa skirt,Light blue,No,1300,325,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa5,9111,JzeKHWEDDS5k9KpBy,BOTTOMS
boa skirt,Beige,No,1300,325,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa6,9112,GtiB2HMiy56rLvCYA,BOTTOMS
boa skirt,Brown,No,1300,325,Brown,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa7,9113,uDTLrmXkDEqToQbJ3,BOTTOMS
bomber-style skirt,Avocado,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone0,5722,jhqr7bGfmAXM6uK3x,BOTTOMS
bomber-style skirt,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone1,11663,Bp7H3PBvjLpJycCqv,BOTTOMS
bomber-style skirt,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone2,11664,EQerBX3MAFt27siGH,BOTTOMS
bomber-style skirt,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtLongMaone3,11665,xy5EjisA8WfpzSGcW,BOTTOMS
botanical shorts,Black,No,700,175,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cool,comfy; vacation,No,For sale,BottomsTexPantsHalfBotanical0,5854,kFwQPwqhakmXTPHC2,BOTTOMS
botanical shorts,White,No,700,175,White,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cool,comfy; vacation,No,For sale,BottomsTexPantsHalfBotanical1,9193,iDnWPtRoBpziJEEwt,BOTTOMS
box-pleated skirt,Light blue,No,1320,330,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats0,5703,Rwte5DmWEbaQdQgqu,BOTTOMS
box-pleated skirt,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats1,11786,MXmzA39FLKtQzzCpv,BOTTOMS
box-pleated skirt,Red,No,1320,330,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats2,11787,KxYmNHwegBmRL9uxJ,BOTTOMS
box-pleated skirt,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; vacation,No,For sale,BottomsTexSkirtBoxBoxpleats3,11788,LrqFHr8zsLgjDoBtZ,BOTTOMS
buttoned lace skirt,Yellow,No,1200,300,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace0,5421,n4JbiQzu22rdtdy9a,BOTTOMS
buttoned lace skirt,White,No,1200,300,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Yes,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace1,8727,hYFNGFXqrvmujTJJm,BOTTOMS
buttoned lace skirt,Pink,No,1200,300,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace2,8728,sJnpKrkWcAxGxoaix,BOTTOMS
buttoned lace skirt,Green,No,1200,300,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace3,8729,MYzQEa7dvMqmrWLN7,BOTTOMS
buttoned lace skirt,Purple,No,1200,300,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Simple,everyday; fairy tale; comfy; vacation,No,For sale,BottomsTexSkirtLongLace4,8730,tkit3npe9HwdDufJQ,BOTTOMS
buttoned wraparound skirt,Gray,No,1820,455,Gray,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor0,5816,MeqvzbNAieKTjMAgF,BOTTOMS
buttoned wraparound skirt,Blue,No,1820,455,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor1,8731,YYgfpmdbXNoCFzBmw,BOTTOMS
buttoned wraparound skirt,Orange,No,1820,455,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor2,8732,ypymB5aMKxZStb8ch,BOTTOMS
buttoned wraparound skirt,Pink,No,1820,455,Pink,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor3,8733,rEFFT7saJTdTb6kG8,BOTTOMS
buttoned wraparound skirt,Green,No,1820,455,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor4,8734,JCkkAtMCEr6kaRwaH,BOTTOMS
buttoned wraparound skirt,Purple,No,1820,455,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,No,For sale,BottomsTexSkirtLongWrapbicolor5,8735,BEqJbSTipj8WRGE55,BOTTOMS
camo pants,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage0,3342,aNFpYieN49dxPKyYy,BOTTOMS
camo pants,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage1,10185,qtsT4H3FaWL6rb8Pp,BOTTOMS
camo pants,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage2,10186,nXT2XiJEx3CHegAip,BOTTOMS
camo pants,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage3,10187,26N6fryHPqE2DNxTR,BOTTOMS
camo pants,Gray,No,1300,325,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage4,10188,EAtqzquCLivjkZhWr,BOTTOMS
camo pants,Purple,No,1300,325,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage5,10189,H86rkRrvcpRorAzTf,BOTTOMS
camo pants,Red,No,1300,325,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalCamouflage6,10190,5dYWfib2BWXgC3Rc4,BOTTOMS
camo skirt,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo0,4434,q5c559aFcRKoBNr4w,BOTTOMS
camo skirt,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo1,11322,GvqcgrFieJhgy5Jpw,BOTTOMS
camo skirt,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo2,11323,oz3YufzmPiL39q4CM,BOTTOMS
camo skirt,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo3,11324,HpyMqkJ4oWAietZmq,BOTTOMS
camo skirt,Gray,No,1300,325,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo4,11325,tZTrTGhi5YdxdNi8f,BOTTOMS
camo skirt,Purple,No,1300,325,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo5,11326,BNhmc7m6TBukQNosf,BOTTOMS
camo skirt,Red,No,1300,325,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxCamo6,11327,5vPqqjmwqkMBLpm8y,BOTTOMS
career skirt,Gray,No,1560,390,Gray,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer0,4504,nPFtncH3euNHGz2dj,BOTTOMS
career skirt,Beige,No,1560,390,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer1,11347,vGt7atvSCh9Qy7Mm7,BOTTOMS
career skirt,Peach,No,1560,390,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer2,11348,adRgkTRKLohGw8obF,BOTTOMS
career skirt,Light blue,No,1560,390,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer3,11349,xNYdSrxuyczCSKPGi,BOTTOMS
career skirt,Pink,No,1560,390,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer4,11350,tWpAfzeAvq8FBxtTW,BOTTOMS
career skirt,Green,No,1560,390,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer5,11351,LgL59ZfDAre6HTfSx,BOTTOMS
career skirt,Blue,No,1560,390,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer6,11352,86ca36YiBEuZeEvRS,BOTTOMS
career skirt,Red,No,1560,390,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,No,For sale,BottomsTexSkirtBoxCareer7,11353,jcZP8k8ETAgyyiuh5,BOTTOMS
cargo pants,Avocado,No,770,192,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo0,3351,DDAHZHuS496kgxWwH,BOTTOMS
cargo pants,Beige,No,770,192,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo1,9703,Fp3ffEayi79Wh6bQ7,BOTTOMS
cargo pants,Navy blue,No,770,192,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo2,9704,E9cHhMTiduzizSpsM,BOTTOMS
cargo pants,Mustard,No,770,192,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo3,9705,eG7sZuGE2wp7or2Rq,BOTTOMS
cargo pants,Brown,No,770,192,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsWideCargo4,9706,oJGyRjQePhaFecQsd,BOTTOMS
cargo shorts,Beige,No,1080,270,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo0,4150,YcGuBwEQnJECddEic,BOTTOMS
cargo shorts,Navy blue,No,1080,270,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo1,8835,vEnqBX2onCbeNqtit,BOTTOMS
cargo shorts,Avocado,No,1080,270,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy; comfy; vacation,No,For sale,BottomsTexPantsHalfCargo2,8836,kNKe7u4ZsvCie9ENh,BOTTOMS
