Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
Aran-knit cap,Blue,No,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,Yes,For sale,CapHatAlan2,12046,jeSebE2Y5fYhTj22k,HEADWEAR
Aran-knit cap,Green,No,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,Yes,For sale,CapHatAlan3,12047,fnowt95fR7QRBrux7,HEADWEAR
baby's hat,Baby mint,No,560,140,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet0,5363,rv9rW8dCfB8k73Hzr,HEADWEAR
baby's hat,Baby purple,No,560,140,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet1,11853,5939Ws882wTSv7sJK,HEADWEAR
baby's hat,Baby yellow,No,560,140,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet2,11854,qk3PJdK2SZK4vsFKo,HEADWEAR
baby's hat,Baby green,No,560,140,Green,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet3,11855,hADTfx6Y2hKri4obE,HEADWEAR
baby's hat,Baby pink,No,560,140,Red,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet4,11856,wyPrRhtyyMtn7Hy3Y,HEADWEAR
baby's hat,Baby gray,No,560,140,Beige,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet5,11857,7FLgET2RH6aejsb8v,HEADWEAR
baby's hat,Baby blue,No,560,140,Blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet6,11858,qHj5WWwZRstJtjP2d,HEADWEAR
baby's hat,Baby orange,No,560,140,Orange,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,comfy,Headgear_HasBang,No,For sale,CapBangsBonnet7,11859,Pf6AxNWkC8D4BBoEN,HEADWEAR
balloon hat,Rainbow,No,1120,280,Colorful,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,HeadCap,Yes,For sale,CapHatBalloon0,5340,Y2LX2RKY9fu4DtjFs,HEADWEAR
balloon hat,Orange,No,1120,280,Orange,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,HeadCap,Yes,For sale,CapHatBalloon1,11050,rWRnH9TkRg3o9xDJQ,HEADWEAR
balloon hat,Blue,No,1120,280,Blue,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,HeadCap,Yes,For sale,CapHatBalloon2,11051,oKbK2uhkLaQaRnpWW,HEADWEAR
balloon hat,Green,No,1120,280,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,HeadCap,Yes,For sale,CapHatBalloon3,11052,CwDPA4FeLvQ44QncE,HEADWEAR
bamboo hat,Beige,Yes,NFS,200,Beige,Beige,1x1,,Crafting,,All Year,No,1.0.0,Simple,fairy tale; outdoorsy,HeadCap,Yes,Not for sale,CapHatAjiroBeige,5143,ehxYwYvtXQ5wyi3pQ,HEADWEAR
barrette,Pink,No,490,122,Pink,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; fairy tale; party,HeadHairOrnament_Back,Yes,For sale,CapOrnamentTBarrette0,9860,BK2NAfuYfrr4womPM,HEADWEAR
baseball cap,Red,No,840,210,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; sporty; work,HeadCap,Yes,For sale,CapHatBaseball0,9763,Yt7QudxePYGMbwcWt,HEADWEAR
baseball cap,Navy blue,No,840,210,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; sporty; work,HeadCap,Yes,For sale,CapHatBaseball1,12092,PomndWn5sqv7fZ86a,HEADWEAR
baseball cap,Green,No,840,210,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; sporty; work,HeadCap,Yes,For sale,CapHatBaseball2,12093,xYaGzJECou3ALoBz4,HEADWEAR
baseball cap,Orange,No,840,210,Black,Orange,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; sporty; work,HeadCap,Yes,For sale,CapHatBaseball3,12094,HE8xZkXbRspp6qgoE,HEADWEAR
baseball cap,Yellow,No,840,210,Black,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; sporty; work,HeadCap,Yes,For sale,CapHatBaseball4,12095,rci5SRCfQ3Hre9vsT,HEADWEAR
batter's helmet,Red,No,1040,260,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Headgear_NoEar,No,For sale,CapHelmetBaseball0,5366,5YfnKAsTFYFEyGCJb,HEADWEAR
batter's helmet,Navy blue,No,1040,260,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Headgear_NoEar,No,For sale,CapHelmetBaseball1,11596,zRQ6hi9FeiQcLXwzH,HEADWEAR
batter's helmet,Green,No,1040,260,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Headgear_NoEar,No,For sale,CapHelmetBaseball2,11597,GfWeB9jgoCTfuG9Lv,HEADWEAR
batter's helmet,Orange,No,1040,260,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Headgear_NoEar,No,For sale,CapHelmetBaseball3,11598,ohKfr9GPDP7QdRSnC,HEADWEAR
batter's helmet,Yellow,No,1040,260,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Headgear_NoEar,No,For sale,CapHelmetBaseball4,11599,4bFJaJ5S9qqevW4sx,HEADWEAR
bear cap,Brown,No,1120,280,Brown,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsBear0,5330,qmkSD7yKDpFvdxcPK,HEADWEAR
bear cap,Black,No,1120,280,Black,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsBear1,11704,6Lrqy6EP9zYBc9Cvj,HEADWEAR
bear cap,Pink,No,1120,280,Pink,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsBear2,11705,CK638wXoN5uPsRbYJ,HEADWEAR
bear cap,Blue,No,1120,280,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsBear3,11706,MfoAxTnsMmTQBic6g,HEADWEAR
beret,Berry red,No,880,220,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret0,5260,iPsbB4mbQ899q2j57,HEADWEAR
beret,Blue,No,880,220,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret1,11523,9CLccmJpKhs7z7GsP,HEADWEAR
beret,Green,No,880,220,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret2,11524,39uW3hcrPpBpudJrm,HEADWEAR
beret,Mustard,No,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret3,11525,gW77mBgBYahG3WcYf,HEADWEAR
beret,Gray,No,880,220,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret4,11526,RumHCxfL5TsdeSodA,HEADWEAR
beret,White,No,880,220,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Elegant,everyday; formal; party,HeadCap,Yes,For sale,CapHatBeret5,11527,4cJGWuLDDa2emHT9H,HEADWEAR
bicycle helmet,Blue,No,1100,275,Light blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet0,5282,kWrRgRFJ8PYExJvL6,HEADWEAR
bicycle helmet,Navy blue,No,1100,275,Blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet1,10219,tXGWFr2hrkQg6XgKy,HEADWEAR
bicycle helmet,Red,No,1100,275,Red,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet2,10220,QDn7xQHdWZ6xPh3BT,HEADWEAR
bicycle helmet,Lime,No,1100,275,Yellow,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet3,10221,mM2hGRaCP5ZaDdab6,HEADWEAR
bicycle helmet,Green,No,1100,275,Green,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet4,10222,qqDW5HCEQdMJx5H5B,HEADWEAR
bicycle helmet,Orange,No,1100,275,Orange,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet5,10223,4GFrms76iFwwqSCkm,HEADWEAR
bicycle helmet,Purple,No,1100,275,Purple,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet6,10224,D2BTXoTXvvGwzyyuF,HEADWEAR
bicycle helmet,Pink,No,1100,275,Pink,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty,HeadCap,Yes,For sale,CapHatCyclemet7,10225,RZCHqdZeoMmDoGm4m,HEADWEAR
birthday hat,Blue,No,NFS,600,Light blue,White,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,HeadCap,Yes,Not for sale,CapHatBirthday0,4800,zndsngwExKbWTahZf,HEADWEAR
birthday hat,Yellow,No,NFS,600,Yellow,White,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,HeadCap,Yes,Not for sale,CapHatBirthday1,11031,KxQKjRzS2zDaXTS38,HEADWEAR
birthday hat,Pink,No,NFS,600,Pink,White,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,HeadCap,Yes,Not for sale,CapHatBirthday2,11032,SHSKySrv2c9QJHFbt,HEADWEAR
blue rose crown,Blue,Yes,NFS,12000,Blue,Blue,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentRose4,7377,FMTDb2CYPMNxEfjTu,HEADWEAR
bowler hat with ribbon,Blue,No,1100,275,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,fairy tale; formal; party,HeadCap,Yes,For sale,CapHatBowler0,5296,WERjZwsMPdiWTSW75,HEADWEAR
bowler hat with ribbon,Beige,No,1100,275,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,fairy tale; formal; party,HeadCap,Yes,For sale,CapHatBowler1,10882,Zw2YFExjKxhPLh8m9,HEADWEAR
bowler hat with ribbon,Green,No,1100,275,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Elegant,fairy tale; formal; party,HeadCap,Yes,For sale,CapHatBowler2,10883,X7h5XGKTRyvZYhKvz,HEADWEAR
bowler hat with ribbon,Red,No,1100,275,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,fairy tale; formal; party,HeadCap,Yes,For sale,CapHatBowler3,10884,DXBymHgCPFMRd9ruP,HEADWEAR
bowler hat with ribbon,Pink,No,1100,275,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,fairy tale; formal; party,HeadCap,Yes,For sale,CapHatBowler4,10885,S6CNHQKo3qjp4rYvW,HEADWEAR
bridal veil,,No,4600,1150,White,Colorful,1x1,,Wedding Season,,All Year,No,1.2.0,Elegant,,Headgear_HasEar,No,Not for sale,CapWigWedding,5692,8bavS95pnPk55RWhq,HEADWEAR
bun wig,Pink,No,1440,360,Pink,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun0,5693,3dY6G9juEFXKBWDjL,HEADWEAR
bun wig,Blue,No,1440,360,Blue,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun1,11888,SyzZ7uDqxmmvT5oWR,HEADWEAR
bun wig,Mustard,No,1440,360,Yellow,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun2,11889,cLo5L7JBf2GSajf58,HEADWEAR
bun wig,White,No,1440,360,White,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun3,11890,iHzbGt8cd8noNaNhK,HEADWEAR
bun wig,Purple,No,1440,360,Purple,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun4,11891,EB9fqNu8wNpRwg8j7,HEADWEAR
bun wig,Green,No,1440,360,Green,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun5,11892,MaH5ns6crjCLnh4Xv,HEADWEAR
bun wig,Orange,No,1440,360,Orange,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,theatrical,Headgear_HasEar,No,For sale,CapWigDoublebun6,11893,Xi5zbpjv8DuMCGhSg,HEADWEAR
Bunny Day crown,,Yes,NFS,2400,Colorful,Colorful,1x1,,Crafting,,All Year,No,1.1.0a,Elegant,fairy tale; party; theatrical,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentCEgg0,12445,22fHRtAozAf9F7KAP,HEADWEAR
bunny ears,Black,No,1120,280,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,Yes,For sale,CapOrnamentFBunny0,7209,guAKXMvkQjACjCeko,HEADWEAR
bunny ears,Pink,No,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,Yes,For sale,CapOrnamentFBunny1,11902,ejbHqhzuDWKeRTJHB,HEADWEAR
bunny ears,Red,No,1120,280,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,Yes,For sale,CapOrnamentFBunny2,11903,Cp6KkLFeWf2ZjrxGG,HEADWEAR
bunny ears,Light blue,No,1120,280,Light blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,Yes,For sale,CapOrnamentFBunny3,11904,vEGFBZeC8cs8uSHYX,HEADWEAR
bunny hood,Pink,No,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party,Headgear_HasBang,No,For sale,CapBangsRabbit0,5325,kAc5WJ4RdbdwRZviu,HEADWEAR
bunny hood,Yellow,No,1120,280,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party,Headgear_HasBang,No,For sale,CapBangsRabbit1,11700,56pSbKmverxwgoWyA,HEADWEAR
bunny hood,White,No,1120,280,White,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party,Headgear_HasBang,No,For sale,CapBangsRabbit2,11701,yspHESBTkZq8CtqQ2,HEADWEAR
captain's hat,White,No,1680,420,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,formal; work,HeadCap,Yes,For sale,CapHatCaptainWhite,5332,hKr3Y4nRnRQQji93W,HEADWEAR
cat cap,Navy blue,No,980,245,Blue,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsCat0,5326,CJzRXGT2fjMnB3Rgh,HEADWEAR
cat cap,Brown,No,980,245,Brown,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsCat1,11702,dsjqz48SY6TcQ7X7e,HEADWEAR
cat cap,White,No,980,245,White,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,No,For sale,CapBangsCat2,11703,vHB8gJoaSPoCJGkLz,HEADWEAR
catcher's mask,Red,No,1560,390,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,HeadFullFace,No,For sale,CapFullfaceCatcher0,6050,8zmdbp2tBykZTALsA,HEADWEAR
catcher's mask,Navy blue,No,1560,390,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,HeadFullFace,No,For sale,CapFullfaceCatcher1,11600,T5gi3Ez88i5d6CGsS,HEADWEAR
catcher's mask,Green,No,1560,390,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,HeadFullFace,No,For sale,CapFullfaceCatcher2,11601,nP3Qibz6spPJjfzuf,HEADWEAR
catcher's mask,Orange,No,1560,390,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,HeadFullFace,No,For sale,CapFullfaceCatcher3,11602,FiRH6PxvgXwf7RXFL,HEADWEAR
catcher's mask,Yellow,No,1560,390,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,HeadFullFace,No,For sale,CapFullfaceCatcher4,11603,c9D7iWahWWuwwBhWm,HEADWEAR
cavalier hat,Blue,No,1600,400,Blue,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; theatrical,HeadCap,Yes,For sale,CapHatCavalier0,5663,LiyDo5B8daue2r4yx,HEADWEAR
cavalier hat,Red,No,1600,400,Red,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; theatrical,HeadCap,Yes,For sale,CapHatCavalier1,11807,jpuz4JgbGnmndBnrF,HEADWEAR
cavalier hat,Green,No,1600,400,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,fairy tale; theatrical,HeadCap,Yes,For sale,CapHatCavalier2,11808,7Hsa64WDuBsf9EWNk,HEADWEAR
chef's hat,White,No,840,210,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,HeadCap,Yes,For sale,CapHatCockWhite,5140,nEKEfN4THZSYy2Fam,HEADWEAR
cherry hat,Red,Yes,NFS,1000,Red,Green,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,Yes,Not for sale,CapHatCherry0,9873,zAezFwCd6zTXDiLmH,HEADWEAR
chic mum crown,Colorful,Yes,NFS,960,Pink,Purple,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentMum2,5118,k3yYLEyKr9hmD482c,HEADWEAR
chic rose crown,Purple,Yes,NFS,2880,Purple,Black,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentRose3,5113,AFGYn6gsbgZv7hR7h,HEADWEAR
chic tulip crown,Colorful,Yes,NFS,1440,Purple,Pink,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentTulip2,5103,egj5MuWKmQwuikuhY,HEADWEAR
coin headpiece,Gold,No,NFS,1350,Yellow,Colorful,1x1,,Gulliver,,All Year,No,1.0.0,Gorgeous,theatrical,Headgear_NoEar,No,Not for sale,CapHelmetCoinGold,6091,gZaTz678JajwxN46E,HEADWEAR
colorful striped knit cap,Red,No,880,220,Red,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful0,5409,9g2SAsCcRPBDN3a98,HEADWEAR
colorful striped knit cap,Blue,No,880,220,Blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful1,10957,MNneFtRkQ4zH3N8TD,HEADWEAR
colorful striped knit cap,Green,No,880,220,Green,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful2,10958,JvH9LbcQAaF3dFonA,HEADWEAR
colorful striped knit cap,Yellow,No,880,220,Yellow,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful3,10959,5umtCd4PB35mTEBfk,HEADWEAR
colorful striped knit cap,Purple,No,880,220,Purple,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Yes,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful4,10960,kjWy2e4uNkWHZ3o3p,HEADWEAR
colorful striped knit cap,Light blue,No,880,220,Light blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatColorful5,10961,Q2bPLK8wsnwGPMxN9,HEADWEAR
