Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,tipo
air circulator,Green,,,,No,No,No,,1100,275,Green,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,HOUSEWARES
air circulator,Yellow,,,,No,No,No,,1100,275,Yellow,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,HOUSEWARES
alto saxophone,,,,,No,No,No,,3400,850,Yellow,Yellow,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAltosax,,846,yAj7DyFRDjWbh7qYP,HOUSEWARES
anatomical model,,,,,No,No,No,,3500,875,Colorful,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,,,No,Hospital,No,Does not play music,No lighting,For sale,FtrAnatomicalmodel,,1317,t2LzAKDofAZYyqZ6r,HOUSEWARES
anchor statue,Black,Color,,,No,Yes,No,2.0,NFS,1400,Black,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC,HOUSEWARES
anchor statue,Silver,Color,,,No,Yes,No,2.0,NFS,1400,Gray,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM,HOUSEWARES
anchor statue,Gold,Color,,,No,Yes,No,2.0,NFS,1400,Brown,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD,HOUSEWARES
anchor statue,White,Color,,,No,Yes,No,2.0,NFS,1400,White,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha,HOUSEWARES
anchor statue,Blue,Color,,,No,Yes,No,2.0,NFS,1400,Blue,White,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH,HOUSEWARES
anchor statue,Retro,Color,,,No,Yes,No,2.0,NFS,1400,Brown,Gray,1x1,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72,HOUSEWARES
angled signpost,Home,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg,HOUSEWARES
angled signpost,Forest,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M,HOUSEWARES
angled signpost,Fishing Spot,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb,HOUSEWARES
angled signpost,Resident Services,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp,HOUSEWARES
angled signpost,Airport,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz,HOUSEWARES
angled signpost,Shop,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s,HOUSEWARES
angled signpost,Tailors,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp,HOUSEWARES
angled signpost,Museum,Navigation,,,Yes,Yes,No,1.0,NFS,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,,,,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A,HOUSEWARES
antique bed,Brown,,,,No,No,No,,28000,7000,Brown,White,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,No,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr,HOUSEWARES
antique bed,Natural,,,,No,No,No,,28000,7000,Beige,White,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,No,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ,HOUSEWARES
antique bed,Black,,,,No,No,No,,28000,7000,Black,White,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,No,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S,HOUSEWARES
antique bureau,Brown,,,,No,No,No,,20000,5000,Brown,Brown,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,No,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_0_0,0_0,3956,eqP7Ro4PzjhZFGMaX,HOUSEWARES
antique bureau,Natural,,,,No,No,No,,20000,5000,Beige,Beige,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,No,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_1_0,1_0,3956,PwbzwqaKiZ7CPKgh6,HOUSEWARES
antique bureau,Black,,,,No,No,No,,20000,5000,Black,Black,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,No,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda,HOUSEWARES
antique chair,Brown,,,,No,No,No,,10000,2500,Brown,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg,HOUSEWARES
antique chair,Natural,,,,No,No,No,,10000,2500,Beige,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT,HOUSEWARES
antique chair,Black,,,,No,No,No,,10000,2500,Black,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj,HOUSEWARES
antique clock,Brown,,,,No,No,No,,44000,11000,Brown,Yellow,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,No,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w,HOUSEWARES
antique clock,Natural,,,,No,No,No,,44000,11000,Beige,Yellow,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,No,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX,HOUSEWARES
antique clock,Black,,,,No,No,No,,44000,11000,Black,Yellow,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,No,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_2_0,2_0,3954,prDor5kTcy7ahzz5c,HOUSEWARES
antique console table,Brown,,,,No,No,No,,17000,4250,Brown,Brown,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_0_0,0_0,3951,kKSfnnXLBk2BMbWEo,HOUSEWARES
antique console table,Natural,,,,No,No,No,,17000,4250,Beige,Beige,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_1_0,1_0,3951,SBphLepffHinkmtPf,HOUSEWARES
antique console table,Black,,,,No,No,No,,17000,4250,Black,Black,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_2_0,2_0,3951,7i4eJMFhi2gzqMEZ8,HOUSEWARES
antique mini table,Brown,,,,No,No,No,,6700,1675,Brown,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_0_0,0_0,3958,WZyBrwSZD4wZtqcBJ,HOUSEWARES
antique mini table,Natural,,,,No,No,No,,6700,1675,Beige,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_1_0,1_0,3958,epWuBMh226r3nu7xh,HOUSEWARES
antique mini table,Black,,,,No,No,No,,6700,1675,Black,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_2_0,2_0,3958,2n955ZXXD3RXt9gjE,HOUSEWARES
antique table,Brown,,,,No,No,No,,25000,6250,Brown,Brown,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_0_0,0_0,3952,F4jrEYe9x7W4E2wYE,HOUSEWARES
antique table,Natural,,,,No,No,No,,25000,6250,Beige,Beige,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_1_0,1_0,3952,ptPHtvKpF2JCkS9Zw,HOUSEWARES
antique table,Black,,,,No,No,No,,25000,6250,Black,Black,2x2,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,No,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_2_0,2_0,3952,x2K5wv9K8qGXcmukB,HOUSEWARES
antique vanity,Brown,,,,No,No,No,,31000,7750,Brown,Light blue,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,No,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7,HOUSEWARES
antique vanity,Natural,,,,No,No,No,,31000,7750,Beige,Light blue,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,No,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_1_0,1_0,3955,2bRbENZWkM9BeuiwZ,HOUSEWARES
antique vanity,Black,,,,No,No,No,,31000,7750,Black,Light blue,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,No,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_2_0,2_0,3955,b5MR8PraRhrJzsqYi,HOUSEWARES
antique wardrobe,Brown,,,,No,No,No,,37000,9250,Brown,Brown,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_0_0,0_0,3959,XAnaYsJ8wouWyBBsu,HOUSEWARES
antique wardrobe,Natural,,,,No,No,No,,37000,9250,Beige,Beige,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_1_0,1_0,3959,yBtLh6CtFrGD4qTTF,HOUSEWARES
antique wardrobe,Black,,,,No,No,No,,37000,9250,Black,Black,2x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_2_0,2_0,3959,Tjvexu4etCrRoAAw4,HOUSEWARES
apple chair,Red apple,Fruit type,,,Yes,Yes,No,4.0,NFS,2480,Red,Yellow,1x1,,Crafting,,1.0.0,fancy,,fruits,apple,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_0_0,0_0,4134,qonCdPiLCmFNtYMsG,HOUSEWARES
apple chair,Green apple,Fruit type,,,Yes,Yes,No,4.0,NFS,2480,Green,Yellow,1x1,,Crafting,,1.0.0,fancy,,fruits,apple,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_1_0,1_0,4134,rjPaqoEyZ2FHDjbkn,HOUSEWARES
Aquarius urn,,,,,Yes,No,No,,NFS,22125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,bathroom,stars,,No,Bathroom Things,No,Does not play music,No lighting,Not for sale,FtrZodiacAquarius,,5956,dYz86HHwPAWYn5c3Z,HOUSEWARES
arcade combat game,,,,,No,No,No,,64000,16000,White,Blue,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,No,Does not play music,Monitor,For sale,FtrArcadegameShooting,,8226,f7tatK2cmYwskb5LS,HOUSEWARES
arcade fighting game,,,,,No,No,No,,64000,16000,White,Red,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,No,Does not play music,Monitor,For sale,FtrArcadegameFight,,8225,3CKqHScHJuqbW7e4u,HOUSEWARES
arcade mahjong game,,,,,No,No,No,,64000,16000,White,Green,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,No,Does not play music,Monitor,For sale,FtrArcadegameMahjong,,8227,vNB5LbWmPm2uQhdjo,HOUSEWARES
arcade seat,Red,,,,No,No,No,,1300,325,Red,Gray,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrGameChair_Remake_0_0,0_0,12207,BHxt8Xrz3RxHAq45c,HOUSEWARES
arcade seat,Gray,,,,No,No,No,,1300,325,Gray,Gray,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrGameChair_Remake_1_0,1_0,12207,qvAcGrMSRKdMPWZAF,HOUSEWARES
arcade seat,Blue,,,,No,No,No,,1300,325,Blue,Gray,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrGameChair_Remake_2_0,2_0,12207,DZ3hFRhqZ5W62XQ4C,HOUSEWARES
Aries rocking chair,,,,,Yes,No,No,,NFS,12125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,fancy,stars,,Yes,Toy,No,Does not play music,No lighting,Not for sale,FtrZodiacAries,,5954,MLxrGfmKBYNQoqYYu,HOUSEWARES
artisanal bug cage,,,,,No,No,No,,NFS,450,Brown,Brown,2x1,,Bug-Off,,1.0.0,garden,facility,,,Wardrobe,Ranch,Yes,Does not play music,No lighting,Not for sale,FtrEventobjInsectBox,,7839,GsEBBC4JpEgwjgv6e,HOUSEWARES
asteroid,,,,,Yes,No,No,,NFS,4000,Black,Black,1x1,,Crafting,,1.0.0,space,facility,,,Yes,Space,Yes,Does not play music,No lighting,Not for sale,FtrMeteo,,1439,oAQNzhuKcCvh4E9a4,HOUSEWARES
astronaut suit,,,,,Yes,No,No,,NFS,6250,White,Black,1x1,,Crafting,,1.0.0,space,,,,No,Space,Yes,Does not play music,No lighting,Not for sale,FtrSpacesuit,,1445,mBhzWedMXNB5HSrKa,HOUSEWARES
automatic washer,White,,,,No,No,No,,4500,1125,White,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_0_0,0_0,2740,4YqpCyGk4ndhAWjS8,HOUSEWARES
automatic washer,Pink,,,,No,No,No,,4500,1125,Red,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_1_0,1_0,2740,wdpzZgQz8aJvnkY33,HOUSEWARES
automatic washer,Blue,,,,No,No,No,,4500,1125,Blue,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_2_0,2_0,2740,vCcK4sAa2HDC2cLQG,HOUSEWARES
automatic washer,Green,,,,No,No,No,,4500,1125,Green,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_3_0,3_0,2740,xwWJ4q9SvKAkwKAf9,HOUSEWARES
automatic washer,Yellow,,,,No,No,No,,4500,1125,Yellow,White,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_4_0,4_0,2740,uKASWdnn2i8tv3W9G,HOUSEWARES
automatic washer,Black,,,,No,No,No,,4500,1125,Black,Black,1x1,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,No,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_5_0,5_0,2740,z8zJrXKQxbrLnXXLv,HOUSEWARES
baby chair,Red,,Bear,Cushion,No,No,Yes,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_0,0_0,3305,uzH4uc5wXZiAeRrDx,HOUSEWARES
baby chair,Red,,Strawberry,Cushion,No,No,Yes,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_1,0_1,3305,Mzjo4jFrqZdhCPTR3,HOUSEWARES
baby chair,Red,,Butterfly,Cushion,No,No,Yes,1.0,1200,300,Red,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_2,0_2,3305,SNPkuumtp6rc7Df7k,HOUSEWARES
baby chair,Red,,Train,Cushion,No,No,Yes,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_3,0_3,3305,9g8Jq3bPaDbew3GZg,HOUSEWARES
baby chair,Red,,Paw print,Cushion,No,No,Yes,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_4,0_4,3305,imMXebxofRWTiDB2y,HOUSEWARES
baby chair,Pink,,Bear,Cushion,No,No,Yes,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_0,1_0,3305,QRHpTEn6WNZZxv8bd,HOUSEWARES
baby chair,Pink,,Strawberry,Cushion,No,No,Yes,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_1,1_1,3305,kiYP9J9thzGkP2ZXQ,HOUSEWARES
baby chair,Pink,,Butterfly,Cushion,No,No,Yes,1.0,1200,300,Pink,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_2,1_2,3305,5x8pLSL8XjbZnCBQQ,HOUSEWARES
baby chair,Pink,,Train,Cushion,No,No,Yes,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_3,1_3,3305,6tfwMtaYLE5KtAQKS,HOUSEWARES
baby chair,Pink,,Paw print,Cushion,No,No,Yes,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_4,1_4,3305,ihucEvtrsesPCYZB2,HOUSEWARES
