Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
spider umbrella,No,840,210,Black,White,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaSpider0,7173,aaQhimbednGniK4NF,UMBRELLAS
strawberry umbrella,No,1550,387,Pink,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaStrawberry0,6907,kKQHooYToACDqoqBm,UMBRELLAS
striped umbrella,No,750,187,Gray,White,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaStripe0,6916,hF2THDnHbEJWTDT8L,UMBRELLAS
sunny parasol,No,750,187,Yellow,White,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaSunflower0,6904,thr45xserbQqAm6o4,UMBRELLAS
tartan-check umbrella,No,750,187,Red,Green,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPlaid0,6917,HjZzRQKbMdXBKYawe,UMBRELLAS
Toad parasol,No,750,187,Red,White,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaPolkadotRed,5861,HnmPeaovKNwg7ZuBL,UMBRELLAS
two-tone umbrella,No,770,192,Red,Yellow,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaTwocolor0,7166,Da4xWXq9D2RFLnyYj,UMBRELLAS
vinyl umbrella,No,770,192,White,White,1x1,,Nook's Cranny,,1.0.0,Yes,For sale,UmbrellaVinyl0,7165,q4Eo8vxPLFCL4ppac,UMBRELLAS
watermelon umbrella,No,1550,387,Red,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaWater0,6909,JTchAPvto4vHBJANw,UMBRELLAS
white shiny-bows parasol,No,1620,405,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,Yes,For sale,UmbrellaPacodarace3,12135,4btSNLBHRoocAXfgE,UMBRELLAS
